
ping脚本开始分析 2017-10-27 00:00:01 192.168.1.200
PING 192.168.1.200 (192.168.1.200) 56(84) bytes of data.
64 bytes from 192.168.1.200: icmp_seq=1 ttl=63 time=6.59 ms
64 bytes from 192.168.1.200: icmp_seq=2 ttl=63 time=6.52 ms
64 bytes from 192.168.1.200: icmp_seq=3 ttl=63 time=6.48 ms
64 bytes from 192.168.1.200: icmp_seq=4 ttl=63 time=6.53 ms
64 bytes from 192.168.1.200: icmp_seq=5 ttl=63 time=6.56 ms
64 bytes from 192.168.1.200: icmp_seq=6 ttl=63 time=6.54 ms
64 bytes from 192.168.1.200: icmp_seq=7 ttl=63 time=6.47 ms
64 bytes from 192.168.1.200: icmp_seq=8 ttl=63 time=6.62 ms
64 bytes from 192.168.1.200: icmp_seq=9 ttl=63 time=6.53 ms
64 bytes from 192.168.1.200: icmp_seq=10 ttl=63 time=6.53 ms
64 bytes from 192.168.1.200: icmp_seq=11 ttl=63 time=6.60 ms
64 bytes from 192.168.1.200: icmp_seq=12 ttl=63 time=6.58 ms
64 bytes from 192.168.1.200: icmp_seq=13 ttl=63 time=6.52 ms
64 bytes from 192.168.1.200: icmp_seq=14 ttl=63 time=6.50 ms
64 bytes from 192.168.1.200: icmp_seq=15 ttl=63 time=6.47 ms
64 bytes from 192.168.1.200: icmp_seq=16 ttl=63 time=6.63 ms
64 bytes from 192.168.1.200: icmp_seq=17 ttl=63 time=6.52 ms
64 bytes from 192.168.1.200: icmp_seq=18 ttl=63 time=6.50 ms
64 bytes from 192.168.1.200: icmp_seq=19 ttl=63 time=6.60 ms
64 bytes from 192.168.1.200: icmp_seq=20 ttl=63 time=6.48 ms
64 bytes from 192.168.1.200: icmp_seq=21 ttl=63 time=6.55 ms
64 bytes from 192.168.1.200: icmp_seq=22 ttl=63 time=6.63 ms
64 bytes from 192.168.1.200: icmp_seq=23 ttl=63 time=6.59 ms
64 bytes from 192.168.1.200: icmp_seq=24 ttl=63 time=6.49 ms
64 bytes from 192.168.1.200: icmp_seq=25 ttl=63 time=6.54 ms
64 bytes from 192.168.1.200: icmp_seq=26 ttl=63 time=6.53 ms
64 bytes from 192.168.1.200: icmp_seq=27 ttl=63 time=6.61 ms
64 bytes from 192.168.1.200: icmp_seq=28 ttl=63 time=6.65 ms
64 bytes from 192.168.1.200: icmp_seq=29 ttl=63 time=6.60 ms
64 bytes from 192.168.1.200: icmp_seq=30 ttl=63 time=6.48 ms
64 bytes from 192.168.1.200: icmp_seq=31 ttl=63 time=6.58 ms
64 bytes from 192.168.1.200: icmp_seq=32 ttl=63 time=6.56 ms
64 bytes from 192.168.1.200: icmp_seq=33 ttl=63 time=6.53 ms
64 bytes from 192.168.1.200: icmp_seq=34 ttl=63 time=6.53 ms
64 bytes from 192.168.1.200: icmp_seq=35 ttl=63 time=6.50 ms
64 bytes from 192.168.1.200: icmp_seq=36 ttl=63 time=6.53 ms
64 bytes from 192.168.1.200: icmp_seq=37 ttl=63 time=6.63 ms
64 bytes from 192.168.1.200: icmp_seq=38 ttl=63 time=6.51 ms
64 bytes from 192.168.1.200: icmp_seq=39 ttl=63 time=6.54 ms
64 bytes from 192.168.1.200: icmp_seq=40 ttl=63 time=6.60 ms
64 bytes from 192.168.1.200: icmp_seq=41 ttl=63 time=6.61 ms
64 bytes from 192.168.1.200: icmp_seq=42 ttl=63 time=6.63 ms
64 bytes from 192.168.1.200: icmp_seq=43 ttl=63 time=6.48 ms
64 bytes from 192.168.1.200: icmp_seq=44 ttl=63 time=6.48 ms
64 bytes from 192.168.1.200: icmp_seq=45 ttl=63 time=6.57 ms
64 bytes from 192.168.1.200: icmp_seq=46 ttl=63 time=6.50 ms
64 bytes from 192.168.1.200: icmp_seq=47 ttl=63 time=6.48 ms
64 bytes from 192.168.1.200: icmp_seq=48 ttl=63 time=6.51 ms
64 bytes from 192.168.1.200: icmp_seq=49 ttl=63 time=6.57 ms
64 bytes from 192.168.1.200: icmp_seq=50 ttl=63 time=6.55 ms
64 bytes from 192.168.1.200: icmp_seq=51 ttl=63 time=6.62 ms
64 bytes from 192.168.1.200: icmp_seq=52 ttl=63 time=6.57 ms
64 bytes from 192.168.1.200: icmp_seq=53 ttl=63 time=6.56 ms
64 bytes from 192.168.1.200: icmp_seq=54 ttl=63 time=6.54 ms
64 bytes from 192.168.1.200: icmp_seq=55 ttl=63 time=6.67 ms
64 bytes from 192.168.1.200: icmp_seq=56 ttl=63 time=6.51 ms
64 bytes from 192.168.1.200: icmp_seq=57 ttl=63 time=6.58 ms
64 bytes from 192.168.1.200: icmp_seq=58 ttl=63 time=6.53 ms
64 bytes from 192.168.1.200: icmp_seq=59 ttl=63 time=6.52 ms
64 bytes from 192.168.1.200: icmp_seq=60 ttl=63 time=6.55 ms

--- 192.168.1.200 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59098ms
rtt min/avg/max/mdev = 6.476/6.554/6.670/0.118 ms

ping脚本开始分析 2017-10-27 00:01:01 192.168.1.200
PING 192.168.1.200 (192.168.1.200) 56(84) bytes of data.
64 bytes from 192.168.1.200: icmp_seq=1 ttl=63 time=6.71 ms
64 bytes from 192.168.1.200: icmp_seq=2 ttl=63 time=6.44 ms
